상태,구분,요구사항 ID,기능명,기능 간단 설명,우선 순위
초안 작성,커뮤니티,COMM_001_3,단일 여행기 썸네일 조회,자동으로 정리된 여정별 사진 앨범 중 대표 이미지를 썸네일로 제공,1순위
대기,시스템,SYS_001,다국어 지원 (영문),TourAPI를 활용하여 영문 관광지 정보를 제공,3순위
대기,시스템,SYS_002,온보딩,앱 최초 실행 시 서비스 소개 및 권한 설정 가이드를 표시,2순위
대기,시스템,SYS_003,권한 관리,"위치, 카메라, 마이크 등 필요한 권한을 요청하고 관리",1순위
초안 작성,여행기 기록,RECD_001,여행 기록 시작,"""여행 기록 시작"" 버튼을 눌러 새로운 여행기 세션을 생성",1순위
초안 작성,여행기 기록,RECD_002,여행 이동 위치 기록,"여행 기록 중, 사용자 주변 관광지의 GPS 좌표를 기반으로 이동 경로를 기록",1순위
대기,여행기 기록,RECD_003,여행 음성 기록,"여행 기록 중, 사용자가 원하는 시점에 음성으로 감정을 기록",3순위
초안 작성,여행기 기록,RECD_004,여행 사진 기록,"여행 기록 중, 사용자가 촬영한 사진을 기록",1순위
초안 작성,여행기 기록,RECD_005,감정 문장 기록,"여행 기록 중, 사용자가 원하는 시점에 텍스트로 감정을 작성하고 기록",1순위
초안 작성,여행기 기록,RECD_006,여행 구간 분할,"여행 기록 중, 일정 거리 이동 또는 일정 시간 체류 시, 여정 구간이 자동 분리되어 기록",1순위
초안 작성,여행기 기록,RECD_007,여행 타임라인 기록,"여행 기록 중, 기록된 여정을 타임라인(시간 순서) 또는 카카오 API 를 활용해 지도에 경로 표시",2순위
초안 작성,여행기 기록,RECD_008,여행 기록 임시 저장,"여행 기록 중, 기록 중인 내용이 중간에 자동으로 저장되어 앱 비정상적으로 종료된 이후에도 기록중인 내용 복원 가능",2순위
대기,여행기 기록,RECD_009,관광지 정보 매칭 및 조회,"여행 기록 중, GPS, TourAPI에 기반하여 주변 관광지 정보 제공",2순위
대기,여행기 기록,RECD_010,날씨 정보 조회,"여행 기록 중, 기상청 API, GPS에 기반하여 현재 위치한 지역의 현재 시간대 날씨 정보 제공",2순위
대기,여행기 기록,RECD_011,여행 구간 별 데이터 기입 알림,"여행 기록 중, 새로운 구간 도착(감지) 시 감정 및 데이터 입력 유도",2순위
초안 작성,여행기 기록,RECD_012,여행 기록 상태 조회 및 변경,"여행 기록 중, 기록 중인 현 상태 자체를 화면에 표시하고, “기록 중단”, “기록 완료” 상태로 변경 가능",1순위
대기,여행기 기록,RECD_013,기록 중인 여행기 데이터 조회,"여행 기록 중, 기록된 여행기 내용을 조회",1순위
대기,여행기 기록,RECD_014,기록 중인 여행기 데이터 편집 (수정 및 삭제),"여행 기록 중, 기록 중인 여행기의 내용을 수정하거나 삭제 가능",2순위
초안 작성,여행기 생성,GEN_001,감정 분석 및 태그 생성,"여행 기록 종료 후, 사용자가 입력했던 감정 문장을 AI로 분석하여 태그 생성",1순위
대기,여행기 생성,GEN_002,여행기(피드) 생성,"여행 기록 종료 후, 수집된 데이터들을 바탕으로 완성된 여행기를 생성",1순위
초안 작성,커뮤니티,COMM_001,단일 여행기 상세 조회,"종료된 단일 여행기에 대한 타임라인, 여행 경로, 여행 사진, 여행 메모 등 상세 내용 조회",1순위
초안 작성,커뮤니티,COMM_001_2,단일 여행기 상세 조회 (지도 기반 조회),전체 이동 경로와 주요 장소를 지도 위에 시각적으로 표시,2순위
초안 작성,커뮤니티,COMM_001_1,카드 구성,"대표 이미지, 감정 태그, 제목으로 구성된 콘텐츠 카드 UI 제공",
초안 작성,커뮤니티,COMM_002,여행기 공유,종료된 단일 여행기에 대한 SNS 공유용 링크 생성 및 복사 버튼 제공,3순위
대기,커뮤니티,COMM_003,여행기 댓글,"종료된 단일 여행기에 대한 댓글 및 대댓글 조회, 작성, 수정, 삭제",3순위
대기,커뮤니티,COMM_004,여행기 좋아요,종료된 다른 사용자의 단일 여행기에 대해 좋아요 선택,3순위
대기,커뮤니티,COMM_005,여행기 북마크,종료된 다른 사용자의 단일 여행기를 북마크하여 따로 보관,3순위
작성 중,커뮤니티,FEED_001,"여행기 목록 조회 (피드 목록 조회) ",다른 사용자의 여행기들을 피드 형태로 조회,1순위
초안 작성,커뮤니티,FEED_002,여행기 추천 기능,"사용자 취향 및 감성 키워드, 아키타입 등을 기반으로 다른 사용자의 여행기들 중, 추천하는 여행기 목록을 조회",2순위
대기,커뮤니티,FEED_003,여행기 검색 조회,"다른 사용자의 여행기 목록에서 제목, 아키타입, 태그 등을 기반으로 검색하여 조회",3순위
대기,커뮤니티,FEED_004,여행기 피드 추천,사용자의 여행 패턴과 선호도를 분석하여 맞춤형 여행 로그를 추천/ 사용자의 행동 패턴을 분석하여 가중치 넘겨 게시물을 적절한 비율로 제공,2순위
대기,계정 및 인증,AUTH_001,회원가입,사용자가 소셜 계정 (카카오)으로 회원가입을 진행할 수 있도록 처리,1순위
대기,계정 및 인증,AUTH_002,로그인,사용자가 소셜 계정으로 로그인하여 서비스에 접근할 수 있도록 처리,1순위
