요구사항 ID,구분,기능 간단 설명,기능명,상위 항목,상태,우선 순위,하위 항목
COMM_001_3,커뮤니티,자동으로 정리된 여정별 사진 앨범 중 대표 이미지를 썸네일로 제공,단일 여행기 썸네일 조회,COMM_001 (%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98%EC%84%9C/COMM_001%2027c6a6880d0181db96fec4a7a7f76404.md),초안 작성,1순위,
RECD_006,여행기 기록,"여행 기록 중, 일정 거리 이동 또는 일정 시간 체류 시, 여정 구간이 자동 분리되어 기록",여행 구간 분할,,초안 작성,1순위,
COMM_002,커뮤니티,종료된 단일 여행기에 대한 SNS 공유용 링크 생성 및 복사 버튼 제공,여행기 공유,,초안 작성,3순위,
SECU_006,보안 및 안정성,-,배터리 최적화,,대기,3순위,
FEED_002,커뮤니티,"사용자 취향 및 감성 키워드, 아키타입 등을 기반으로 다른 사용자의 여행기들 중, 추천하는 여행기 목록을 조회",여행기 추천 기능,,초안 작성,2순위,
AUTH_003,계정 및 인증,사용자가 로그인 세션을 종료하고 로그아웃할 수 있도록 처리,로그아웃,,대기,1순위,
COMM_001_1,커뮤니티,"대표 이미지, 감정 태그, 제목으로 구성된 콘텐츠 카드 UI 제공",카드 구성,COMM_001 (%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98%EC%84%9C/COMM_001%2027c6a6880d0181db96fec4a7a7f76404.md),초안 작성,,
RECD_004,여행기 기록,"여행 기록 중, 사용자가 촬영한 사진을 기록",여행 사진 기록,,초안 작성,1순위,
RECD_001,여행기 기록,"""여행 기록 시작"" 버튼을 눌러 새로운 여행기 세션을 생성",여행 기록 시작,,초안 작성,1순위,
SECU_001,보안 및 안정성,개인 정보가 포함된 데이터에 대해 마스킹 처리하여 데이터베이스에 저장,개인 정보 보안,,대기,1순위,
COMM_001_2,커뮤니티,전체 이동 경로와 주요 장소를 지도 위에 시각적으로 표시,단일 여행기 상세 조회 (지도 기반 조회),COMM_001 (%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98%EC%84%9C/COMM_001%2027c6a6880d0181db96fec4a7a7f76404.md),초안 작성,2순위,
SECU_004,보안 및 안정성,"여행 기록 중, 네트워크 연결이 끊겨도 하드웨어에 기본 기록 가능, 온라인 전환 시 데이터 동기화 가능하게 구현",오프라인 모드 지원,,대기,3순위,
FEED_001,커뮤니티,다른 사용자의 여행기들을 피드 형태로 조회,"여행기 목록 조회 (피드 목록 조회) ",,작성 중,1순위,
RECD_003,여행기 기록,"여행 기록 중, 사용자가 원하는 시점에 음성으로 감정을 기록",여행 음성 기록,,대기,3순위,
SECU_003,보안 및 안정성,공공 API 기반 콘텐츠는 출처 정보를 함께 표기,외부 API 출처 표기,,대기,1순위,
RECD_007,여행기 기록,"여행 기록 중, 기록된 여정을 타임라인(시간 순서) 또는 카카오 API 를 활용해 지도에 경로 표시",여행 타임라인 기록,,초안 작성,2순위,
COMM_001,커뮤니티,"종료된 단일 여행기에 대한 타임라인, 여행 경로, 여행 사진, 여행 메모 등 상세 내용 조회",단일 여행기 상세 조회,,초안 작성,1순위,"COMM_001_1 (%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98%EC%84%9C/COMM_001_1%2027c6a6880d018151844bf62f30a500e1.md), COMM_001_2 (%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98%EC%84%9C/COMM_001_2%2027c6a6880d0181a882a0db7e1a76dcdd.md), COMM_001_3 (%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9A%94%EA%B5%AC%EC%82%AC%ED%95%AD%20%EC%A0%95%EC%9D%98%EC%84%9C/COMM_001_3%2027c6a6880d0181108089d3633134726a.md)"
COMM_004,커뮤니티,종료된 다른 사용자의 단일 여행기에 대해 좋아요 선택,여행기 좋아요,,대기,3순위,
RECD_002,여행기 기록,"여행 기록 중, 사용자 주변 관광지의 GPS 좌표를 기반으로 이동 경로를 기록",여행 이동 위치 기록,,초안 작성,1순위,
SECU_005,보안 및 안정성,여행기 편집 중 상태는 임시 저장되어 종료 후에도 복원,편집 중인 여행기 임시 저장,,대기,3순위,
RECD_009,여행기 기록,"여행 기록 중, GPS, TourAPI에 기반하여 주변 관광지 정보 제공",관광지 정보 매칭 및 조회,,대기,2순위,
AUTH_002,계정 및 인증,사용자가 소셜 계정으로 로그인하여 서비스에 접근할 수 있도록 처리,로그인,,대기,1순위,
SYS_002,시스템,앱 최초 실행 시 서비스 소개 및 권한 설정 가이드를 표시,온보딩,,대기,2순위,
SETUP_001,개인 설정,본인이 생성한 모든 여행기 목록을 조회,나의 전체 여행기록 조회,,대기,2순위,
SETUP_002,개인 설정,본인이 생성한 단일 여행기에 대한 데이터 편집,나의 종료된 단일 여행기 편집,,초안 작성,2순위,
SECU_002,보안 및 안정성,여행 기록은 자동 저장 및 복구 기능을 통해 유실되지 않도록 조치,데이터 백업 및 저장,,대기,1순위,
RECD_012,여행기 기록,"여행 기록 중, 기록 중인 현 상태 자체를 화면에 표시하고, “기록 중단”, “기록 완료” 상태로 변경 가능",여행 기록 상태 조회 및 변경,,초안 작성,1순위,
RECD_008,여행기 기록,"여행 기록 중, 기록 중인 내용이 중간에 자동으로 저장되어 앱 비정상적으로 종료된 이후에도 기록중인 내용 복원 가능",여행 기록 임시 저장,,초안 작성,2순위,
AUTH_001,계정 및 인증,사용자가 소셜 계정 (카카오)으로 회원가입을 진행할 수 있도록 처리,회원가입,,대기,1순위,
SETUP_004,개인 설정,본인이 생성한 모든 여행 기록들을 취합하여 통계 정보 제공,여행 통계 조회 기능,,대기,3순위,
AUTH_004,계정 및 인증,사용자가 회원탈퇴 버튼을 클릭하여 계정을 탈퇴할 수 있도록 처리,회원 탈퇴,,대기,1순위,
RECD_010,여행기 기록,"여행 기록 중, 기상청 API, GPS에 기반하여 현재 위치한 지역의 현재 시간대 날씨 정보 제공",날씨 정보 조회,,대기,2순위,
SYS_003,시스템,"위치, 카메라, 마이크 등 필요한 권한을 요청하고 관리",권한 관리,,대기,1순위,
ADVR_001,홍보 및 수익 창출,여행기 사이에 주변 관광지·축제·맛집 등의 광고성 정보 삽입,광고 정보 삽입,,대기,3순위,
RECD_011,여행기 기록,"여행 기록 중, 새로운 구간 도착(감지) 시 감정 및 데이터 입력 유도",여행 구간 별 데이터 기입 알림,,대기,2순위,
COMM_005,커뮤니티,종료된 다른 사용자의 단일 여행기를 북마크하여 따로 보관,여행기 북마크,,대기,3순위,
